region,province,commune,compop2014,tauxaccess
PLATEAU CENTRAL,OUBRITENGA,ABSOUYA,28858,81.05204796
CENTRE-EST,KOURITENGA,ANDEMTENGA,57104,78.63372093
SAHEL,SOUM,ARBINDA,101463,41.51661197
CENTRE-EST,BOULGOU,BAGRE,34065,73.12784383
CENTRE-EST,BOULGOU,BANE,27693,79.70967392
CASCADES,COMOE,BANFORA,48879,72.54240062
SAHEL,SENO,BANI,73015,59.48229816
SAHEL,SOUM,BARABOULE,36631,55.19641833
CENTRE-NORD,SANMATENGA,BARSALOGHO,94969,64.55790837
CENTRE-EST,KOURITENGA,BASKOURE,13689,98.54627803
CENTRE-EST,BOULGOU,BEGUEDO,22369,96.88855112
CENTRE-SUD,ZOUNDWEOGO,BERE,36352,67.41307218
CASCADES,COMOE,BEREGADOUGOU,9341,40.94850658
CENTRE-SUD,ZOUNDWEOGO,BINDE,46179,81.51540744
CENTRE-EST,BOULGOU,BISSIGA,24521,79.18111007
CENTRE-EST,BOULGOU,BITTOU,60948,40.64940605
CENTRE-NORD,NAMENTENGA,BOALA,30083,78.12385733
PLATEAU CENTRAL,GANZOURGOU,BOUDRY,87702,71.34272879
CENTRE-NORD,NAMENTENGA,BOULSA,77057,68.14306293
SAHEL,YAGHA,BOUNDORE,28446,62.71180482
CENTRE-NORD,NAMENTENGA,BOUROUM,55628,57.23736248
CENTRE-NORD,BAM,BOURZANGA,57466,58.05171754
PLATEAU CENTRAL,KOURWEOGO,BOUSSE,30118,80.39378445
CENTRE-EST,BOULGOU,BOUSSOUMA GARANGO,31247,86.73152623
CENTRE-NORD,SANMATENGA,BOUSSOUMA KAYA,99403,75.39913282
CENTRE-EST,KOULPELOGO,COMIN_YANGA,47698,57.38605392
CENTRE-NORD,SANMATENGA,DABLO,24917,71.56961111
CASCADES,LERABA,DAKORO,19068,53.63436123
PLATEAU CENTRAL,OUBRITENGA,DAPELOGO,39282,78.77653887
CENTRE-NORD,NAMENTENGA,DARGO,35217,67.98137263
SAHEL,OUDALAN,DEOU,31635,32.9065908
CENTRE-EST,KOURITENGA,DIALGAYE,43082,88.96755025
SAHEL,SOUM,DIGUEL,11227,66.12630266
SAHEL,SOUM,DJIBO,38662,58.68035797
SAHEL,SENO,DORI,107097,63.44902285
CENTRE-SUD,BAZEGA,DOULOUGOU,33108,91.91736136
CASCADES,LERABA,DOUNA,13040,85.95092025
CENTRE-EST,KOULPELOGO,DOURTENGA,10467,82.28718831
SAHEL,SENO,FALAGOUNTOU,22709,76.19005681
CENTRE-SUD,BAZEGA,GAONGO,32246,54.4315574
CENTRE-EST,BOULGOU,GARANGO,45156,84.58012224
CENTRE-SUD,ZOUNDWEOGO,GOGO,48330,72.37947445
CENTRE-SUD,ZOUNDWEOGO,GOMBOUSSOUGOU,58709,76.50104754
SAHEL,SENO,GORGADJI,37367,34.30031846
SAHEL,OUDALAN,GOROM_GOROM,121102,45.58306221
CENTRE-EST,KOURITENGA,GOUNGHIN,39601,90.17954092
CENTRE-SUD,NAHOURI,GUIARO,24474,65.85764485
CENTRE-SUD,ZOUNDWEOGO,GUIBA,38145,91.85738629
CENTRE-NORD,BAM,GUIBARE,28231,76.50100953
CENTRE-SUD,BAZEGA,IPELCE,16401,94.55521005
CENTRE-EST,KOURITENGA,KANDO,33026,78.95597408
CASCADES,LERABA,KANKALABA,14063,64.6163692
CENTRE-NORD,SANMATENGA,KAYA,75524,82.09575764
CENTRE-SUD,BAZEGA,KAYAO,42895,81.45238373
SAHEL,SOUM,KELBO,30169,67.67874308
PLATEAU CENTRAL,GANZOURGOU,KOGHO,17375,80.8057554
CENTRE-SUD,BAZEGA,KOMBISSIRI,56302,82.8922596
CENTRE-EST,BOULGOU,KOMTOEGA,24146,95.97034706
CENTRE-NORD,BAM,KONGOUSSI,56534,83.16411363
CENTRE-NORD,SANMATENGA,KORSIMORO,53598,73.99156685
CENTRE-EST,KOURITENGA,KOUPELA,35358,84.30906725
SAHEL,SOUM,KOUTOUGOU,23303,36.94374115
CENTRE-EST,KOULPELOGO,LALGAYE,17639,72.90662736
PLATEAU CENTRAL,KOURWEOGO,LAYE,13494,98.36964577
CASCADES,LERABA,LOUMANA,34976,62.96031565
PLATEAU CENTRAL,OUBRITENGA,LOUMBILA,30607,79.23350867
CENTRE-NORD,SANMATENGA,MANE,55935,76.26888353
CENTRE-SUD,ZOUNDWEOGO,MANGA,15690,94.81198215
CASCADES,COMOE,MANGODARA,74685,49.72216643
SAHEL,YAGHA,MANSILA,53479,70.41829503
SAHEL,OUDALAN,MARKOYE,34320,48.87237762
PLATEAU CENTRAL,GANZOURGOU,MEGUET,37318,87.09201994
PLATEAU CENTRAL,GANZOURGOU,MOGTEDO,52899,53.30724588
CASCADES,COMOE,MOUSSODOUGOU,15046,50.75767646
CENTRE-NORD,NAMENTENGA,NAGBINGOU,19257,63.67035364
PLATEAU CENTRAL,OUBRITENGA,NAGREONGO,25556,86.21458757
CENTRE-NORD,SANMATENGA,NAMISSIGUIMA,11733,73.40833546
CENTRE-NORD,BAM,NASSERE,12507,82.72967138
SAHEL,SOUM,NASSOUMBOU,25188,55.824202
CASCADES,COMOE,NIANGOLOKO,45884,51.46020399
CASCADES,LERABA,NIANKORODOUGOU,49223,55.68331877
CENTRE-EST,BOULGOU,NIAOGO,22165,88.78863072
PLATEAU CENTRAL,KOURWEOGO,NIOU,29592,88.88888889
CENTRE-SUD,ZOUNDWEOGO,NOBÉRÉ,41576,85.19097556
CENTRE-EST,KOULPELOGO,OUARGAYE,38147,26.77536897
CASCADES,LERABA,OUELENI,17029,60.60250161
CASCADES,COMOE,OUO,33879,61.17358836
PLATEAU CENTRAL,OUBRITENGA,OURGOU_MANEGA,22449,90.11091808
SAHEL,OUDALAN,OURSI,19748,34.69212072
CENTRE-NORD,SANMATENGA,PENSA,43513,67.23737734
CENTRE-NORD,SANMATENGA,PIBAORE,34463,73.25537533
CENTRE-NORD,SANMATENGA,PISSILA,118476,66.8734596
CENTRE-SUD,NAHOURI,PO,33904,81.65408211
SAHEL,SOUM,POBE_MENGAO,29855,64.49840898
CENTRE-EST,KOURITENGA,POUYTENGA,17092,90.04797566
CENTRE-NORD,BAM,ROLLO,32785,72.59112399
CENTRE-NORD,BAM,ROUKO,16392,73.4443631
CENTRE-NORD,BAM,SABCE,27809,76.31342371
PLATEAU CENTRAL,GANZOURGOU,SALOGO,23240,80.03012048
SAHEL,SENO,SAMPELGA,24024,64.37312687
CENTRE-EST,KOULPELOGO,SANGA,46706,59.67541643
CENTRE-SUD,BAZEGA,SAPONE,48885,93.19832259
SAHEL,YAGHA,SEBBA,33063,66.7120346
SAHEL,SENO,SEYTENGA,39453,50.43469445
CASCADES,COMOE,SIDERADOUGOU,108692,48.37062525
CASCADES,LERABA,SINDOU,19412,44.46733979
SAHEL,YAGHA,SOLHAN,31361,57.97965626
CASCADES,COMOE,SOUBAKANIEDOUGOU,40470,58.1097109
CENTRE-EST,KOULPELOGO,SOUDOUGUI,54209,47.83523031
PLATEAU CENTRAL,KOURWEOGO,SOURGOUBILA,42779,68.45181047
SAHEL,YAGHA,TANKOUGOUNADIE,20086,68.38096186
CENTRE-EST,BOULGOU,TENKODOGO,94142,76.73302033
CENTRE-EST,KOURITENGA,TENSOBENTENGA,23251,94.43894886
CENTRE-SUD,NAHOURI,TIEBELE,54988,79.4700662
CASCADES,COMOE,TIEFORA,69328,41.98736441
CENTRE-NORD,BAM,TIKARE,42940,88.27433628
SAHEL,OUDALAN,TIN_AKOFF,26241,20.37269921
SAHEL,YAGHA,TITABE,25782,61.76790009
CENTRE-SUD,BAZEGA,TOECE,42064,88.39149867
PLATEAU CENTRAL,KOURWEOGO,TOEGHIN,18084,84.13514709
SAHEL,SOUM,TONGOMAYEL,87908,39.92924421
CENTRE-NORD,NAMENTENGA,TOUGOURI,92441,66.73229411
CASCADES,LERABA,WOLONKOTO,5480,57.75547445
CENTRE-NORD,NAMENTENGA,YALGO,38070,52.43236144
CENTRE-EST,KOULPELOGO,YARGATENGA,47144,47.20006788
CENTRE-EST,KOURITENGA,YARGO,17009,96.31959551
CENTRE-EST,KOULPELOGO,YONDE,30535,68.29867365
CENTRE-EST,BOULGOU,ZABRE,79448,72.56570335
PLATEAU CENTRAL,GANZOURGOU,ZAM,44020,78.3348478
CENTRE-SUD,NAHOURI,ZECCO,11642,91.00669988
CENTRE-NORD,NAMENTENGA,ZEGUEDEGUIN,26357,82.14895474
CENTRE-NORD,SANMATENGA,ZIGA,40189,69.32245142
CENTRE-NORD,BAM,ZIMTANGA,27785,80.51466619
PLATEAU CENTRAL,OUBRITENGA,ZINIARÉ,47027,80.21562081
CENTRE-SUD,NAHOURI,ZIOU,27801,81.44311356
PLATEAU CENTRAL,OUBRITENGA,ZITENGA,45474,86.38782601
CENTRE-EST,BOULGOU,ZOAGA,12627,77.65898472
CENTRE-EST,BOULGOU,ZONSE,23182,72.18531619
PLATEAU CENTRAL,GANZOURGOU,ZORGHO,30290,90.78903929
PLATEAU CENTRAL,GANZOURGOU,ZOUNGOU,32802,77.60197549
